"Gemeinde","Einfamilienhäuser Vor 1919 erbaut","Einfamilienhäuser Zwischen 1919 und 1945 erbaut","Einfamilienhäuser Zwischen 1946 und 1960 erbaut","Einfamilienhäuser Zwischen 1961 und 1970 erbaut","Einfamilienhäuser Zwischen 1971 und 1980 erbaut","Einfamilienhäuser Zwischen 1981 und 1990 erbaut","Einfamilienhäuser Zwischen 1991 und 1995 erbaut","Einfamilienhäuser Zwischen 1996 und 2000 erbaut","Mehrfamilienhäuser Vor 1919 erbaut","Mehrfamilienhäuser Zwischen 1919 und 1945 erbaut","Mehrfamilienhäuser Zwischen 1946 und 1960 erbaut","Mehrfamilienhäuser Zwischen 1961 und 1970 erbaut","Mehrfamilienhäuser Zwischen 1971 und 1980 erbaut","Mehrfamilienhäuser Zwischen 1981 und 1990 erbaut","Mehrfamilienhäuser Zwischen 1991 und 1995 erbaut","Mehrfamilienhäuser Zwischen 1996 und 2000 erbaut","Wohngebäude mit Nebennutzung Vor 1919 erbaut","Wohngebäude mit Nebennutzung Zwischen 1919 und 1945 erbaut","Wohngebäude mit Nebennutzung Zwischen 1946 und 1960 erbaut","Wohngebäude mit Nebennutzung Zwischen 1961 und 1970 erbaut","Wohngebäude mit Nebennutzung Zwischen 1971 und 1980 erbaut","Wohngebäude mit Nebennutzung Zwischen 1981 und 1990 erbaut","Wohngebäude mit Nebennutzung Zwischen 1991 und 1995 erbaut","Wohngebäude mit Nebennutzung Zwischen 1996 und 2000 erbaut","Gebäude mit teilweiser Wohnnutzung Vor 1919 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1919 und 1945 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1946 und 1960 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1961 und 1970 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1971 und 1980 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1981 und 1990 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1991 und 1995 erbaut","Gebäude mit teilweiser Wohnnutzung Zwischen 1996 und 2000 erbaut"
"Schweiz",121795,105523,111636,97392,127124,139493,51456,67300,79715,49489,53416,51480,45242,40579,18590,19048,95843,25805,17826,15103,14563,15459,6492,7183,30202,11748,9876,9349,8566,8469,3732,2673
"0001 Aeugst am Albis",46,8,12,28,56,60,53,39,19,1,2,6,5,20,11,4,26,2,2,1,11,4,4,2,6,2,1,2,0,3,0,0
"0002 Affoltern am Albis",132,110,123,56,163,174,67,140,64,27,47,84,68,83,25,33,87,17,32,18,24,24,5,18,36,21,12,10,21,18,7,5
"0003 Bonstetten",40,21,79,44,174,105,46,72,13,8,11,17,16,20,36,12,35,5,3,7,4,14,8,5,5,1,3,3,3,4,2,0
"0004 Hausen am Albis",164,8,30,38,126,122,55,32,39,2,4,15,12,16,13,12,55,3,9,15,13,9,4,4,18,3,6,1,3,3,2,1
"0005 Hedingen",79,22,148,47,66,91,53,66,22,6,10,5,14,17,16,6,28,2,6,7,2,2,6,3,11,1,3,2,1,4,3,0
"0006 Kappel am Albis",51,1,3,11,13,32,19,21,12,1,1,4,2,5,6,2,31,2,2,2,5,1,4,1,7,0,1,1,2,1,1,2
"0007 Knonau",28,6,6,18,34,33,37,42,17,6,1,11,6,8,5,8,24,2,1,9,5,4,3,3,7,1,1,6,3,1,0,0
"0008 Maschwanden",30,2,2,5,7,10,3,11,15,0,0,1,3,6,1,2,32,4,0,0,3,1,0,1,4,0,0,1,1,0,0,0
"0009 Mettmenstetten",136,11,21,43,100,95,49,67,56,4,6,13,12,29,16,19,51,6,4,14,4,14,4,3,26,4,4,2,11,5,0,2
"0010 Obfelden",83,25,39,69,269,139,50,75,46,12,6,20,28,16,10,9,39,5,2,7,15,10,4,1,10,6,3,3,4,2,4,1
"0011 Ottenbach",110,5,17,36,65,165,16,39,17,0,1,12,12,10,4,6,44,3,2,3,1,13,1,2,11,0,1,2,1,0,4,2
"0012 Rifferswil",55,4,7,7,25,17,7,6,19,0,0,1,3,6,3,2,20,1,3,6,4,7,2,3,8,0,0,0,0,1,1,0
"0013 Stallikon",76,12,25,86,105,169,72,49,16,0,7,5,8,18,17,6,21,6,4,4,15,10,10,2,8,4,6,6,1,4,0,4
"0014 Wettswil am Albis",13,15,66,97,227,128,62,74,6,0,8,40,48,9,7,15,13,2,4,13,14,11,2,1,4,1,3,5,6,2,5,1
"0021 Adlikon",23,2,5,7,19,21,3,11,3,0,0,1,2,2,3,1,41,3,2,4,4,5,1,1,5,0,0,0,1,0,0,0
"0022 Benken (ZH)",29,7,11,15,21,17,16,10,13,1,1,1,2,6,4,1,33,5,3,2,2,1,3,1,6,0,1,0,4,1,0,1
"0023 Berg am Irchel",44,3,5,3,15,16,13,17,8,1,0,0,0,2,3,3,28,3,5,1,1,2,3,2,3,0,1,0,0,1,1,0
"0024 Buch am Irchel",31,3,7,6,15,20,29,14,8,1,0,1,1,4,1,1,45,2,5,3,3,2,1,2,1,0,0,0,1,1,0,0
"0025 Dachsen",32,17,67,19,112,29,6,88,12,7,1,2,10,5,4,10,18,5,5,3,1,0,0,1,10,1,0,1,4,2,0,0
"0026 Dorf",25,3,2,3,6,28,26,20,5,1,1,1,3,3,3,2,18,1,1,2,2,4,1,0,4,2,0,0,1,1,1,0
"0027 Feuerthalen",67,103,74,31,21,24,24,56,77,32,18,22,5,7,3,15,26,5,2,3,2,2,0,2,15,9,2,5,5,1,2,0
"0028 Flaach",54,9,18,23,22,31,16,33,14,4,0,5,2,6,5,0,32,9,9,6,4,6,2,2,9,2,2,2,2,2,1,0
"0029 Flurlingen",32,26,37,15,33,29,22,30,33,9,3,6,7,9,3,3,11,1,0,1,2,0,0,3,6,1,1,0,0,1,3,1
"0030 Andelfingen",43,29,31,63,58,24,9,30,41,5,3,13,2,3,3,3,27,2,5,8,8,3,2,1,21,2,6,2,4,5,0,1
"0031 Henggart",24,12,51,29,61,53,23,86,7,5,2,0,6,14,11,1,22,2,2,2,1,3,3,2,5,1,3,1,4,1,1,0
"0032 Humlikon",17,0,1,10,22,11,10,12,3,0,0,0,1,2,3,1,18,1,1,4,3,0,2,0,2,2,0,0,1,0,1,0
