"Jahr","Kanton (-) / Bezirk (>>) / Gemeinde (......)","Bevölkerungstyp","Geschlecht","Zivilstand","0-4 Jahre","5-9 Jahre","10-14 Jahre","15-19 Jahre","20-24 Jahre","25-29 Jahre","30-34 Jahre","35-39 Jahre","40-44 Jahre","45-49 Jahre","50-54 Jahre","55-59 Jahre","60-64 Jahre","65-69 Jahre","70-74 Jahre","75-79 Jahre","80-84 Jahre","85-89 Jahre","90-94 Jahre","95-99 Jahre","100 Jahre und mehr"
"2019","- Zürich","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",83101,79253,72937,68804,78910,108347,127217,126747,116484,111752,115994,104638,82695,68696,64202,54011,37608,24332,10701,2601,245
"2019",">> Bezirk Affoltern","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",3095,3283,3021,2876,2763,2860,3289,3943,4059,4274,4629,4135,3287,2894,2634,2026,1175,703,271,41,4
"2019","......0001 Aeugst am Albis","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",78,107,97,110,97,73,75,119,137,173,179,215,164,115,92,79,37,22,11,1,0
"2019","......0002 Affoltern am Albis","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",697,596,555,633,683,908,949,924,789,816,933,854,731,607,542,450,323,219,80,13,1
"2019","......0003 Bonstetten","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",287,340,385,305,280,269,320,407,435,469,445,398,311,277,254,195,117,57,17,3,1
"2019","......0004 Hausen am Albis","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",172,213,242,205,189,120,174,240,275,313,346,334,253,193,201,145,80,45,10,1,0
"2019","......0005 Hedingen","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",172,217,201,227,223,189,208,229,277,293,360,319,231,204,181,121,65,41,15,4,1
"2019","......0006 Kappel am Albis","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",78,93,75,59,53,43,67,90,116,116,112,83,67,53,49,32,19,12,3,1,0
"2019","......0007 Knonau","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",165,170,142,102,121,120,123,194,194,173,200,184,141,97,96,81,34,29,9,3,0
"2019","......0008 Maschwanden","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",38,45,34,25,30,24,36,41,53,34,77,61,28,38,31,20,13,10,6,1,0
"2019","......0009 Mettmenstetten","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",340,327,272,262,279,280,293,369,362,374,427,382,313,290,268,188,89,59,24,2,0
"2019","......0010 Obfelden","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",364,335,328,322,323,330,396,411,402,428,484,357,281,296,283,196,95,57,29,4,0
"2019","......0011 Ottenbach","Ständige Wohnbevölkerung","Geschlecht- Total","Zivilstand - Total",112,148,128,134,125,102,119,157,177,198,231,205,199,208,134,123,50,25,12,1,0
