Gemeinde,0-4 Jahre,5-9 Jahre,10-14 Jahre,15-19 Jahre,20-24 Jahre,25-29 Jahre,30-34 Jahre,35-39 Jahre,40-44 Jahre,45-49 Jahre,50-54 Jahre,55-59 Jahre,60-64 Jahre,65-69 Jahre,70-74 Jahre,75-79 Jahre,80-84 Jahre,85-89 Jahre,90-94 Jahre,95-99 Jahre,100 Jahre und mehr,Kanton,Bezirk,Gemeindenummer
Aeugst am Albis,78,107,97,110,97,73,75,119,137,173,179,215,164,115,92,79,37,22,11,1,0,Zürich,Bezirk Affoltern,1
Affoltern am Albis,697,596,555,633,683,908,949,924,789,816,933,854,731,607,542,450,323,219,80,13,1,Zürich,Bezirk Affoltern,2
Bonstetten,287,340,385,305,280,269,320,407,435,469,445,398,311,277,254,195,117,57,17,3,1,Zürich,Bezirk Affoltern,3
Hausen am Albis,172,213,242,205,189,120,174,240,275,313,346,334,253,193,201,145,80,45,10,1,0,Zürich,Bezirk Affoltern,4
Hedingen,172,217,201,227,223,189,208,229,277,293,360,319,231,204,181,121,65,41,15,4,1,Zürich,Bezirk Affoltern,5
Kappel am Albis,78,93,75,59,53,43,67,90,116,116,112,83,67,53,49,32,19,12,3,1,0,Zürich,Bezirk Affoltern,6
Knonau,165,170,142,102,121,120,123,194,194,173,200,184,141,97,96,81,34,29,9,3,0,Zürich,Bezirk Affoltern,7
Maschwanden,38,45,34,25,30,24,36,41,53,34,77,61,28,38,31,20,13,10,6,1,0,Zürich,Bezirk Affoltern,8
Mettmenstetten,340,327,272,262,279,280,293,369,362,374,427,382,313,290,268,188,89,59,24,2,0,Zürich,Bezirk Affoltern,9
Obfelden,364,335,328,322,323,330,396,411,402,428,484,357,281,296,283,196,95,57,29,4,0,Zürich,Bezirk Affoltern,10
Ottenbach,112,148,128,134,125,102,119,157,177,198,231,205,199,208,134,123,50,25,12,1,0,Zürich,Bezirk Affoltern,11
Rifferswil,52,86,103,65,35,42,34,74,98,100,106,89,57,65,57,30,15,10,10,1,0,Zürich,Bezirk Affoltern,12
Stallikon,239,234,168,161,153,163,234,273,323,334,326,292,244,189,165,134,75,34,14,0,0,Zürich,Bezirk Affoltern,13
Wettswil am Albis,301,372,291,266,172,197,261,415,421,453,403,362,267,262,281,232,163,83,31,6,1,Zürich,Bezirk Affoltern,14
