Gemeinde,Kanton,Bezirk,Anhänger_Anderer,Anhänger_Benzin,Anhänger_Benzin-elektrisch: Normal-Hybrid,Anhänger_Benzin-elektrisch: Plug-in-Hybrid,Anhänger_Diesel,Anhänger_Diesel-elektrisch: Normal-Hybrid,Anhänger_Diesel-elektrisch: Plug-in-Hybrid,Anhänger_Elektrisch,Anhänger_Gas (mono- und bivalent),Anhänger_Ohne Motor,Anhänger_Wasserstoff,Industriefahrzeuge_Anderer,Industriefahrzeuge_Benzin,Industriefahrzeuge_Benzin-elektrisch: Normal-Hybrid,Industriefahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Diesel,Industriefahrzeuge_Diesel-elektrisch: Normal-Hybrid,Industriefahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Industriefahrzeuge_Elektrisch,Industriefahrzeuge_Gas (mono- und bivalent),Industriefahrzeuge_Ohne Motor,Industriefahrzeuge_Wasserstoff,Landwirtschaftsfahrzeuge_Anderer,Landwirtschaftsfahrzeuge_Benzin,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Diesel,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Landwirtschaftsfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Landwirtschaftsfahrzeuge_Elektrisch,Landwirtschaftsfahrzeuge_Gas (mono- und bivalent),Landwirtschaftsfahrzeuge_Ohne Motor,Landwirtschaftsfahrzeuge_Wasserstoff,Motorräder_Anderer,Motorräder_Benzin,Motorräder_Benzin-elektrisch: Normal-Hybrid,Motorräder_Benzin-elektrisch: Plug-in-Hybrid,Motorräder_Diesel,Motorräder_Diesel-elektrisch: Normal-Hybrid,Motorräder_Diesel-elektrisch: Plug-in-Hybrid,Motorräder_Elektrisch,Motorräder_Gas (mono- und bivalent),Motorräder_Ohne Motor,Motorräder_Wasserstoff,Personentransportfahrzeuge_Anderer,Personentransportfahrzeuge_Benzin,Personentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Diesel,Personentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Personentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Personentransportfahrzeuge_Elektrisch,Personentransportfahrzeuge_Gas (mono- und bivalent),Personentransportfahrzeuge_Ohne Motor,Personentransportfahrzeuge_Wasserstoff,Personenwagen_Anderer,Personenwagen_Benzin,Personenwagen_Benzin-elektrisch: Normal-Hybrid,Personenwagen_Benzin-elektrisch: Plug-in-Hybrid,Personenwagen_Diesel,Personenwagen_Diesel-elektrisch: Normal-Hybrid,Personenwagen_Diesel-elektrisch: Plug-in-Hybrid,Personenwagen_Elektrisch,Personenwagen_Gas (mono- und bivalent),Personenwagen_Ohne Motor,Personenwagen_Wasserstoff,Sachentransportfahrzeuge_Anderer,Sachentransportfahrzeuge_Benzin,Sachentransportfahrzeuge_Benzin-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Benzin-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Diesel,Sachentransportfahrzeuge_Diesel-elektrisch: Normal-Hybrid,Sachentransportfahrzeuge_Diesel-elektrisch: Plug-in-Hybrid,Sachentransportfahrzeuge_Elektrisch,Sachentransportfahrzeuge_Gas (mono- und bivalent),Sachentransportfahrzeuge_Ohne Motor,Sachentransportfahrzeuge_Wasserstoff
Aeugst am Albis,Zï¿½rich,Bezirk Affoltern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0020191822311963654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.024230186774356385,0.0035335689045936395,0.0010095911155981827,0.005552751135790005,0.0,0.0,0.005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0005047955577990914,0.0,0.0,0.0,0.0,0.0,0.0
Obfelden,Zï¿½rich,Bezirk Affoltern,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0024471246285614405,0.0,0.0,0.0,0.0,0.0,0.0003495892326516343,0.0,0.0,0.00017479461632581716,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005243838489774515,0.0,0.0,0.0,0.0,0.0,0.0008739730816290859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0008739730816290859,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01922740779583989,0.0015731515469323545,0.0005243838489774515,0.007341373885684321,0.0003495892326516343,0.0,0.002272330012235623,0.0,0.0,0.0,0.0,0.00017479461632581716,0.0,0.0,0.0026219192448872575,0.0,0.0,0.0,0.0,0.0,0.0
Stadel,Zï¿½rich,Bezirk Dielsdorf,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0039249890972525075,0.0,0.0,0.0,0.0,0.0,0.0008722197993894462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004797208896641954,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0004361098996947231,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026602703881378108,0.0026166593981683385,0.0008722197993894462,0.013083296990841693,0.0008722197993894462,0.0,0.0026166593981683385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013083296990841692,0.0,0.0,0.0,0.0,0.0,0.0
Doppleschwand,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0025348542458808617,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0038022813688212928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005069708491761723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.021546261089987327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0012674271229404308,0.0,0.0,0.0,0.0,0.0,0.0
Entlebuch,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00701219512195122,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002134146341463415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0064024390243902435,0.0006097560975609756,0.0,0.0064024390243902435,0.0003048780487804878,0.0,0.0,0.0,0.0,0.0,0.0,0.0003048780487804878,0.0,0.0,0.0024390243902439024,0.0,0.0,0.0,0.0,0.0,0.0
Flï¿½hli,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005184033177812338,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.002592016588906169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0010368066355624676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.015552099533437015,0.002592016588906169,0.0,0.010368066355624676,0.0005184033177812338,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015552099533437014,0.0,0.0,0.0,0.0,0.0,0.0
Hasle (LU),Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009792626728110598,0.0,0.0,0.0,0.0,0.0,0.0034562211981566822,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004608294930875576,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01728110599078341,0.001152073732718894,0.0,0.00576036866359447,0.0,0.0,0.001152073732718894,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0017281105990783411,0.0,0.0,0.0,0.0,0.0,0.0
Romoos,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006069802731411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006069802731411229,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.004552352048558422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0015174506828528073,0.0015174506828528073,0.0,0.0030349013657056147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009104704097116844,0.0,0.0,0.0,0.0,0.0,0.0
Schï¿½pfheim,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005943889681407513,0.0,0.0,0.0,0.0,0.0,0.0007132667617689016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0011887779362815027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0021398002853067048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009510223490252021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00903471231573942,0.0019020446980504042,0.0,0.004992867332382311,0.00047551117451260106,0.0,0.00047551117451260106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0014265335235378032,0.0,0.0,0.0,0.0,0.0,0.0
Werthenstein,Luzern,Wahlkreis Entlebuch,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003211009174311927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0009174311926605505,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.011926605504587157,0.001834862385321101,0.0,0.0045871559633027525,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006422018348623854,0.0,0.0,0.00045871559633027525,0.0,0.0,0.0
