Kanton,Bezirk,Gemeindenummer,Gemeinde,Afrika,Asien,EFTA-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,ï¿½briges Europa (Europa ohne EU und EFTA)
Aargau,Bezirk Aarau,4001,Aarau,367,463,5,91,24,4,6,0,1149
Aargau,Bezirk Aarau,4002,Biberstein,14,1,0,2,0,0,0,0,9
Aargau,Bezirk Aarau,4003,Buchs (AG),257,208,3,34,3,3,4,0,973
Aargau,Bezirk Aarau,4004,Densbï¿½ren,4,3,0,0,0,0,0,0,14
Aargau,Bezirk Aarau,4005,Erlinsbach (AG),23,81,1,12,2,1,2,0,152
Aargau,Bezirk Aarau,4006,Grï¿½nichen,62,115,0,15,7,2,0,0,592
Aargau,Bezirk Aarau,4007,Hirschthal,2,15,0,2,1,0,0,0,41
Aargau,Bezirk Aarau,4008,Kï¿½ttigen,98,71,2,15,3,0,0,0,219
Aargau,Bezirk Aarau,4009,Muhen,16,22,0,3,0,0,0,0,146
Aargau,Bezirk Aarau,4010,Oberentfelden,247,227,4,35,9,1,1,0,1092
Aargau,Bezirk Aarau,4012,Suhr,421,449,5,48,4,0,1,0,1128
Aargau,Bezirk Aarau,4013,Unterentfelden,90,92,0,19,1,2,1,0,359
Aargau,Bezirk Baden,4021,Baden,140,489,6,171,67,7,10,0,827
Aargau,Bezirk Baden,4022,Bellikon,1,11,0,4,3,0,0,0,14
Aargau,Bezirk Baden,4023,Bergdietikon,2,35,0,4,6,3,3,0,58
Aargau,Bezirk Baden,4024,Birmenstorf (AG),16,52,0,13,8,0,0,1,88
Aargau,Bezirk Baden,4026,Ennetbaden,24,82,0,9,18,1,4,0,86
Aargau,Bezirk Baden,4027,Fislisbach,41,96,0,38,3,0,0,1,356
Aargau,Bezirk Baden,4028,Freienwil,0,2,2,1,2,0,2,0,20
Aargau,Bezirk Baden,4029,Gebenstorf,12,108,0,26,6,1,1,0,503
Aargau,Bezirk Baden,4030,Killwangen,4,29,0,4,3,0,0,0,162
Aargau,Bezirk Baden,4031,Kï¿½nten,6,21,0,10,0,0,2,0,56
Aargau,Bezirk Baden,4032,Mï¿½genwil,13,58,0,15,1,5,1,0,136
Aargau,Bezirk Baden,4033,Mellingen,69,138,1,33,0,4,4,0,619
Aargau,Bezirk Baden,4034,Neuenhof,78,347,0,78,7,3,7,0,1538
Aargau,Bezirk Baden,4035,Niederrohrdorf,13,50,1,23,2,0,2,0,129
Aargau,Bezirk Baden,4037,Oberrohrdorf,12,45,1,12,4,0,0,0,119
Aargau,Bezirk Baden,4038,Obersiggenthal,93,423,6,63,14,2,3,3,805
Aargau,Bezirk Baden,4039,Remetschwil,4,30,0,1,1,0,0,0,43
Aargau,Bezirk Baden,4040,Spreitenbach,64,215,8,108,6,1,2,1,2790
Aargau,Bezirk Baden,4041,Stetten (AG),2,7,1,1,1,0,1,0,109
Aargau,Bezirk Baden,4042,Turgi,38,98,0,31,5,5,0,0,313
Aargau,Bezirk Baden,4044,Untersiggenthal,87,167,4,30,17,2,2,0,618
Aargau,Bezirk Baden,4045,Wettingen,102,439,7,125,32,4,7,0,1507
Aargau,Bezirk Baden,4046,Wohlenschwil,4,33,0,2,6,0,0,0,44
Aargau,Bezirk Baden,4047,Wï¿½renlingen,7,69,0,12,15,0,0,0,433
Aargau,Bezirk Baden,4048,Wï¿½renlos,18,98,2,27,5,0,2,0,243
Aargau,Bezirk Baden,4049,Ehrendingen,17,56,0,26,7,0,4,0,124
Aargau,Bezirk Bremgarten,4061,Arni (AG),6,24,0,9,4,0,0,0,34
Aargau,Bezirk Bremgarten,4062,Berikon,23,52,0,31,6,0,2,0,165
Aargau,Bezirk Bremgarten,4063,Bremgarten (AG),19,168,0,39,6,0,1,0,444
Aargau,Bezirk Bremgarten,4064,Bï¿½ttikon,4,11,0,4,1,0,0,0,42
Aargau,Bezirk Bremgarten,4065,Dottikon,37,75,0,25,1,1,0,0,452
Aargau,Bezirk Bremgarten,4066,Eggenwil,1,16,0,5,1,0,0,0,44
Aargau,Bezirk Bremgarten,4067,Fischbach-Gï¿½slikon,2,11,0,3,1,0,0,0,67
Aargau,Bezirk Bremgarten,4068,Hï¿½gglingen,3,21,1,3,2,2,0,0,85
Aargau,Bezirk Bremgarten,4071,Jonen,5,25,3,6,2,0,1,0,43
Aargau,Bezirk Bremgarten,4072,Niederwil (AG),5,28,0,2,2,0,0,0,124
Aargau,Bezirk Bremgarten,4073,Oberlunkhofen,0,22,0,3,2,0,0,0,34
Aargau,Bezirk Bremgarten,4074,Oberwil-Lieli,2,10,2,12,5,0,0,0,38
Aargau,Bezirk Bremgarten,4075,Rudolfstetten-Friedlisberg,17,52,2,20,2,0,2,2,317
Aargau,Bezirk Bremgarten,4076,Sarmenstorf,7,33,0,5,1,0,0,0,77
Aargau,Bezirk Bremgarten,4077,Tï¿½gerig,7,15,1,4,0,3,0,0,38
Aargau,Bezirk Bremgarten,4078,Uezwil,1,0,0,0,0,0,0,0,9
Aargau,Bezirk Bremgarten,4079,Unterlunkhofen,5,7,1,2,0,0,0,0,16
Aargau,Bezirk Bremgarten,4080,Villmergen,108,118,2,21,8,1,0,0,766
Aargau,Bezirk Bremgarten,4081,Widen,8,42,7,14,4,2,1,1,75
Aargau,Bezirk Bremgarten,4082,Wohlen (AG),178,390,8,104,7,3,3,0,2140
Aargau,Bezirk Bremgarten,4083,Zufikon,11,25,1,22,3,0,1,0,238
Aargau,Bezirk Bremgarten,4084,Islisberg,0,11,0,2,0,0,0,0,4
Aargau,Bezirk Brugg,4091,Auenstein,4,10,0,5,1,0,1,0,11
Aargau,Bezirk Brugg,4092,Birr,37,114,2,18,6,1,1,0,913
Aargau,Bezirk Brugg,4093,Birrhard,0,13,0,0,2,0,0,0,26
Aargau,Bezirk Brugg,4095,Brugg,117,406,7,83,25,4,2,2,1215
Aargau,Bezirk Brugg,4099,Habsburg,1,0,0,0,0,0,0,0,1
Aargau,Bezirk Brugg,4100,Hausen (AG),13,53,6,12,2,0,0,0,271
Aargau,Bezirk Brugg,4104,Lupfig,16,26,1,2,0,0,0,0,168
Aargau,Bezirk Brugg,4105,Mandach,0,2,0,1,0,0,0,0,1
Aargau,Bezirk Brugg,4106,Mï¿½nthal,3,0,0,0,0,0,0,0,3
Aargau,Bezirk Brugg,4107,Mï¿½lligen,3,10,0,5,1,0,1,0,38
Aargau,Bezirk Brugg,4110,Remigen,2,10,0,1,2,0,0,0,23
Aargau,Bezirk Brugg,4111,Riniken,2,28,1,9,5,0,0,0,71
Aargau,Bezirk Brugg,4112,Rï¿½fenach,5,1,1,0,4,0,0,0,0
Aargau,Bezirk Brugg,4117,Thalheim (AG),0,1,1,3,0,0,1,0,5
Aargau,Bezirk Brugg,4120,Veltheim (AG),6,24,0,3,0,0,1,0,53
Aargau,Bezirk Brugg,4121,Villigen,13,54,0,7,1,0,0,0,106
Aargau,Bezirk Brugg,4122,Villnachern,6,15,0,6,1,2,0,0,54
Aargau,Bezirk Brugg,4123,Windisch,31,168,3,46,10,4,4,1,804
Aargau,Bezirk Brugg,4124,Bï¿½zberg,2,5,1,7,5,0,0,0,13
Aargau,Bezirk Brugg,4125,Schinznach,15,20,0,1,0,0,1,0,39
Aargau,Bezirk Kulm,4131,Beinwil am See,22,35,3,5,0,0,0,0,101
Aargau,Bezirk Kulm,4132,Birrwil,0,2,0,1,4,0,0,0,38
Aargau,Bezirk Kulm,4133,Burg (AG),18,11,0,3,0,0,1,0,127
Aargau,Bezirk Kulm,4134,Dï¿½rrenï¿½sch,8,12,0,0,0,0,3,0,27
Aargau,Bezirk Kulm,4135,Gontenschwil,23,16,0,12,0,0,0,0,131
Aargau,Bezirk Kulm,4136,Holziken,12,13,0,4,0,0,0,0,67
Aargau,Bezirk Kulm,4137,Leimbach (AG),1,4,0,1,0,0,0,0,19
Aargau,Bezirk Kulm,4138,Leutwil,2,0,0,2,0,0,0,0,9
Aargau,Bezirk Kulm,4139,Menziken,100,115,0,19,9,1,1,0,1120
Aargau,Bezirk Kulm,4140,Oberkulm,45,11,0,6,1,0,0,0,311
Aargau,Bezirk Kulm,4141,Reinach (AG),112,95,2,43,4,4,0,0,1949
Aargau,Bezirk Kulm,4142,Schlossrued,9,3,0,0,0,0,0,0,8
Aargau,Bezirk Kulm,4143,Schmiedrued,1,11,0,1,0,0,0,0,23
Aargau,Bezirk Kulm,4144,Schï¿½ftland,16,30,0,10,0,0,1,0,222
Aargau,Bezirk Kulm,4145,Teufenthal (AG),30,25,0,7,1,0,0,0,133
Aargau,Bezirk Kulm,4146,Unterkulm,104,38,0,9,0,4,2,0,497
Aargau,Bezirk Kulm,4147,Zetzwil,12,17,0,2,1,0,0,0,42
Aargau,Bezirk Laufenburg,4161,Eiken,3,25,0,8,0,0,0,0,125
Aargau,Bezirk Laufenburg,4163,Frick,123,113,3,18,1,0,0,0,509
Aargau,Bezirk Laufenburg,4164,Gansingen,5,9,1,1,0,1,0,0,4
Aargau,Bezirk Laufenburg,4165,Gipf-Oberfrick,8,29,0,11,8,0,1,0,92
Aargau,Bezirk Laufenburg,4166,Herznach,9,10,0,3,0,1,1,0,73
Aargau,Bezirk Laufenburg,4169,Kaisten,5,39,2,6,1,0,0,0,97
Aargau,Bezirk Laufenburg,4170,Laufenburg,51,60,5,17,0,0,4,0,201
Aargau,Bezirk Laufenburg,4172,Mï¿½nchwilen (AG),0,18,0,2,3,0,0,0,45
Aargau,Bezirk Laufenburg,4173,Oberhof,18,3,0,1,0,0,0,0,0
Aargau,Bezirk Laufenburg,4175,Oeschgen,0,6,0,3,0,0,0,0,14
Aargau,Bezirk Laufenburg,4176,Schwaderloch,0,10,0,1,0,0,0,0,34
Aargau,Bezirk Laufenburg,4177,Sisseln,0,21,2,3,2,0,0,0,67
Aargau,Bezirk Laufenburg,4179,Ueken,3,9,0,0,2,0,0,0,37
Aargau,Bezirk Laufenburg,4181,Wittnau,3,6,1,1,0,0,0,0,30
Aargau,Bezirk Laufenburg,4182,Wï¿½lflinswil,0,8,1,1,0,4,0,0,10
Aargau,Bezirk Laufenburg,4183,Zeihen,4,8,1,2,1,0,0,0,32
Aargau,Bezirk Laufenburg,4184,Mettauertal,8,15,1,4,0,0,0,0,38
Aargau,Bezirk Laufenburg,4185,Bï¿½ztal,7,20,1,4,1,1,0,0,102
Aargau,Bezirk Lenzburg,4191,Ammerswil,0,6,0,0,0,0,1,0,10
Aargau,Bezirk Lenzburg,4192,Boniswil,4,11,0,3,0,0,0,0,39
Aargau,Bezirk Lenzburg,4193,Brunegg,4,5,0,3,1,0,0,0,54
Aargau,Bezirk Lenzburg,4194,Dintikon,0,52,0,3,1,0,1,0,176
Aargau,Bezirk Lenzburg,4195,Egliswil,1,22,0,1,0,0,2,0,51
Aargau,Bezirk Lenzburg,4196,Fahrwangen,8,38,0,6,0,0,2,0,128
Aargau,Bezirk Lenzburg,4197,Hallwil,16,5,0,1,1,0,0,0,38
