'link','name','country institution','origin','period','genre/type','Xml-tei','export?','completed','remark'
'https://editio.ssrq-online.ch/','Schweizerische Rechtsquellen','Switzerland','Switzerland','Medieval-???','historical sources','yes','unknown',,
'https://www.hallernet.org/','haller-net/république des lettres','Switzerland',,,'multiple editions',,'unknown',,
'https://github.com/alhuber1502/TGA/tree/master/texts','Thomas Gray Archive','Great Britain, Germany','Great Britain','Modern','letters, poems','some','via github',,
'https://github.com/christofs/berardier/blob/master/essai/tei-master','Bérardier de Bataut Archive','Germany','France','Modern','essais','yes','via github',,
'https://www.ehu.eus/galicano/?t=tei&l=es','Bercerro Galicano de San Millan de la Cogolla','Spain','Spain','Medieval','historical sources','yes','via zip-link',,
'https://github.com/donaldmastronarde/EuripidesScholia','Scholia (commentaries) of the plays of Euripides','USA','Greece','Ancient','historical sources','yes','via github',,
'https://github.com/HistoryAtState/frus-history/tree/master/documents','Source data for History of the Foreign Relations Series ','USA','USA','Present','historical sources','yes','via github',,
'https://github.com/orgs/DiScholEd/repositories','Digital Scholarly Editions','France',,,'multiple editions',,,,
'http://www.livesandletters.ac.uk/projects/hooke-folio-online','long lost manuscript of Robert Hooke','Great Britain','Great Britain','Medieval-Modern','?','no','unknown','yes',
'http://www.livesandletters.ac.uk/wd/index.html','workdiaries of Robert Boyle','Great Britain','Great Britain','Medieval-Modern','historical sources','no','unknown','yes',
'https://english.nsms.ox.ac.uk/Holinshed/toc.php?edition=1577','The Holinshed Project','Great Britain','Great Britain','Medieval','historical sources','no','unknown',,
'https://isaw.nyu.edu/publications/inscriptions/campa/index.html','Inscriptions of ancient Campa (Viet Nam)','France, USA','Vietnam','Ancient','inscriptions','yes','unknown','no',
'https://www.ibsen.uio.no/forside.xhtml','Collected writings of Ibsen','Norway, Sweden','Norway','Modern','essais, prose, poems, letters','yes','unknown','no',
'https://www.marktwainproject.org/','Collected writings of Mark Twain','USA','USA','Modern','letters, prose','not found','unknown',,
'https://auchinleck.nls.uk/','Auchinleck Manuscript','Great Britain','Great Britain','Medieval','prose, poem','no','unknown','yes',
'https://github.com/CasebooksProject/casebooks-data/tree/master/cases','Casebooks of S.Forman and R. Napier','Great Britain','Great Britain','Modern','?','yes','via github',,
'https://itseeweb.cal.bham.ac.uk/iohannes/download.html','Electronic Editions of the Gospel According to John','Great Britain','Middle East','Ancient','historical sources','yes','via zip-link',,
'https://www.oldbaileyonline.org/about/data#toc3','The Proceeding of the Old Bailey, 1647-1913','Great Britain','Great Britain','Modern','historical sources','yes','via zip-link',,
'https://github.com/umd-mith/mishnah-data/tree/master/mishnah','Digital Mishnah','USA','Middle East','Ancient','historical sources','yes','via github','no','download via webpage broken'
'https://github.com/CDRH/data_lewisandclark/tree/main/source/tei','Lewis and Clark Expedition','USA','USA','Modern','historical sources','yes','via github',,'repo contains different type of data: journal entries, commentaries from the editors, image-annotations; we might be only interested in journals'
'https://vergil.classics.upenn.edu/','Vergil Project. Resources for Students, Teachers and Readers of Vergil','USA','Italy','Ancient','prose, poem','no','unknown',,'couldn’t find anything about tei/xml'
'https://www.ffzg.unizg.hr/klafil/epidoc-radovi/','Inscriptiones Graecae in Croatia Repertae (IGCR)','Croatia','Croatia','Ancient','historical sources','not found','unknown',,
'https://zenodo.org/records/13759841','Carl Maria von Weber Gesamtausgabe','Germany','Germany','Modern','letters, diaries','yes','via zenodo',,
'https://github.com/livingstoneonline/LEAP-TEI/tree/master','Livingstone','USA, Great Britain','Great Britain','Modern','letters, diaries','yes','via github',,
'https://irt2021.inslib.kcl.ac.uk/en/','Inscriptions of Roman Tripolitania','Great Britain','North Africa','Ancient','inscriptions','yes','each via page, couldn’t find repo or zip',,
'https://www.benedictus.mgh.de/haupt.htm','Edition der falschen Kapitularien des Benedictus Levita','Germany','Germany','Medieval','prose','no','unknown','no','not finished since 2006'
'http://publications.thebritishacademy.ac.uk/pubs/dialogus/ockdial.html','William of Ockham: Dialogus','Great Britain','Great Britain','Medieval','prose','no','unknown',,
'https://github.com/whitmanarchive','The Walt Whitman Archive','USA','USA','Modern','letters, diaries, prose','yes','via github',,
'https://schenkerdocumentsonline.org/documents/repos/collection.html','Heinrich Schenker Documents Online','Great Britain','Germany','Modern-Present','letters, diaries, prose','not found','unknown',,'downloads are temporally removed for “testing purposes”'
'https://github.com/Brown-University-Library/iip-texts/tree/master/archival-files','Inscriptions of Israel/Palestine','USA','Middle East','Ancient','inscriptions','yes','via github','no',
'https://github.com/umd-mith/sga/tree/master/data/tei','kommentierte digitale Edition der Reise- und Sammlungsbeschreibungen Philipp Hainhofers (1578-1647)','Germany','Germany','Modern','letters, diaries, prose','yes','via github',,'Special Tei structure (referencing xml-files from main tei-file)'
