tag,module,description
c,analysis,(character) represents a character.
cl,analysis,(clause) represents a grammatical clause.
interp,analysis,(interpretation) summarizes a specific interpretative annotation which can be linked to a span of text.
interpGrp,analysis,(interpretation group) collects together a set of related interpretations which share responsibility or type.
m,analysis,(morpheme) represents a grammatical morpheme.
pc,analysis,(punctuation character) contains a character or string of characters regarded as constituting a single punctuation mark.
phr,analysis,(phrase) represents a grammatical phrase.
s,analysis,(s-unit) contains a sentence-like division of a text.
span,analysis,associates an interpretative annotation directly with a span of text.
spanGrp,analysis,(span group) collects together span tags.
w,analysis,(word) represents a grammatical (not necessarily orthographic) word.
certainty,certainty,indicates the degree of certainty associated with some aspect of the text markup.
precision,certainty,indicates the numerical accuracy or precision associated with some aspect of the text markup.
respons,certainty,(responsibility) identifies the individual(s) responsible for some aspect of the content or markup of particular element(s).
post,cmc,"a written (or spoken) contribution to a CMC interaction which has been composed (or recorded) by its author in its entirety before being transmitted over a network (e.g., the internet) and made available on the monitor or screen of the other parties en bloc."
abbr,core,(abbreviation) contains an abbreviation of any sort.
add,core,"(addition) contains letters, words, or phrases inserted in the source text by an author, scribe, or a previous annotator or corrector."
addrLine,core,(address line) contains one line of a postal address.
address,core,"(address) contains a postal address, for example of a publisher, an organization, or an individual."
analytic,core,(analytic level) contains bibliographic elements describing an item (e.g. an article or poem) published within a monograph or journal and not as an independent publication.
author,core,"(author) in a bibliographic reference, contains the name(s) of an author, personal or corporate, of a work; for example in the same form as that provided by a recognized bibliographic name authority."
bibl,core,(bibliographic citation) contains a loosely-structured bibliographic citation of which the sub-components may or may not be explicitly tagged.
biblScope,core,"(scope of bibliographic reference) defines the scope of a bibliographic reference, for example as a list of page numbers, or a named subdivision of a larger work."
biblStruct,core,"(structured bibliographic citation) contains a structured bibliographic citation, in which only bibliographic sub-elements appear and in a specified order."
binaryObject,core,"provides encoded binary data representing an inline graphic, audio, video or other object."
cb,core,(column beginning) marks the beginning of a new column of a text on a multi-column page.
choice,core,(choice) groups a number of alternative encodings for the same point in a text.
cit,core,"(cited quotation) contains a quotation from some other document, together with a bibliographic reference to its source. In a dictionary it may contain an example text with at least one occurrence of the word form, used in the sense being described, or a translation of the headword, or an example."
citedRange,core,"(cited range) defines the range of cited content, often represented by pages or other units"
corr,core,(correction) contains the correct form of a passage apparently erroneous in the copy text.
date,core,(date) contains a date in any format.
del,core,"(deletion) contains a letter, word, or passage deleted, marked as deleted, or otherwise indicated as superfluous or spurious in the copy text by an author, scribe, or a previous annotator or corrector."
desc,core,"(description) contains a short description of the purpose, function, or use of its parent element, or when the parent is a documentation element, describes or defines the object being documented."
distinct,core,"identifies any word or phrase which is regarded as linguistically distinct, for example as archaic, technical, dialectal, non-preferred, etc., or as forming part of a sublanguage."
divGen,core,(automatically generated text division) indicates the location at which a textual division generated automatically by a text-processing application is to appear.
editor,core,"contains a secondary statement of responsibility for a bibliographic item, for example the name of an individual, institution or organization, (or of several such) acting as editor, compiler, translator, etc."
ellipsis,core,"(deliberately marked omission) indicates a purposeful marking in the source document signalling that content has been omitted, and may also supply or describe the omitted content."
email,core,(electronic mail address) contains an email address identifying a location to which email messages can be delivered.
emph,core,(emphasized) marks words or phrases which are stressed or emphasized for linguistic or rhetorical effect.
expan,core,(expansion) contains the expansion of an abbreviation.
foreign,core,(foreign) identifies a word or phrase as belonging to some language other than that of the surrounding text.
gap,core,"(gap) indicates a point where material has been omitted in a transcription, whether for editorial reasons described in the TEI header, as part of sampling practice, or because the material is illegible, invisible, or inaudible."
gb,core,(gathering beginning) marks the beginning of a new gathering or quire in a transcribed codex.
gloss,core,(gloss) identifies a phrase or word used to provide a gloss or definition for some other word or phrase.
graphic,core,"(graphic) indicates the location of a graphic or illustration, either forming part of a text, or providing an image of it."
head,core,"(heading) contains any type of heading, for example the title of a section, or the heading of a list, glossary, manuscript description, etc."
headItem,core,(heading for list items) contains the heading for the item or gloss column in a glossary list or similar structured list.
headLabel,core,(heading for list labels) contains the heading for the label or term column in a glossary list or similar structured list.
hi,core,"(highlighted) marks a word or phrase as graphically distinct from the surrounding text, for reasons concerning which no claim is made."
imprint,core,groups information relating to the publication or distribution of a bibliographic item.
index,core,(index entry) marks a location to be indexed for whatever purpose.
item,core,(item) contains one component of a list.
l,core,"(verse line) contains a single, possibly incomplete, line of verse."
label,core,"(label) contains any label or heading used to identify part of a text, typically but not exclusively in a list or glossary."
lb,core,(line beginning) marks the beginning of a new (typographic) line in some edition or version of a text.
lg,core,"(line group) contains one or more verse lines functioning as a formal unit, e.g. a stanza, refrain, verse paragraph, etc."
list,core,(list) contains any sequence of items organized as a list.
listBibl,core,(citation list) contains a list of bibliographic citations of any kind.
measure,core,"(measure) contains a word or phrase referring to some quantity of an object or commodity, usually comprising a number, a unit, and a commodity name."
measureGrp,core,"(measure group) contains a group of dimensional specifications which relate to the same object, for example the height and width of a manuscript page."
media,core,indicates the location of any form of external media such as an audio or video clip etc.
meeting,core,"contains the formalized descriptive title for a meeting or conference, for use in a bibliographic description for an item derived from such a meeting, or as a heading or preamble to publications emanating from it."
mentioned,core,"marks words or phrases mentioned, not used."
milestone,core,"(milestone) marks a boundary point separating any kind of section of a text, typically but not necessarily indicating a point at which some part of a standard reference system changes, where the change is not represented by a structural element."
monogr,core,(monographic level) contains bibliographic elements describing an item (e.g. a book or journal) published as an independent item (i.e. as a separate physical object).
name,core,"(name, proper noun) contains a proper noun or noun phrase."
note,core,(note) contains a note or annotation.
noteGrp,core,(note group) contains a group of notes
num,core,"(number) contains a number, written in any form."
orig,core,"(original form) contains a reading which is marked as following the original, rather than being normalized or corrected."
p,core,(paragraph) marks paragraphs in prose.
pb,core,(page beginning) marks the beginning of a new page in a paginated document.
postBox,core,(postal box or post office box) contains a number or other identifier for some postal delivery point other than a street address.
postCode,core,(postal code) contains a numerical or alphanumeric code used as part of a postal address to simplify sorting or delivery of mail.
ptr,core,(pointer) defines a pointer to another location.
pubPlace,core,(publication place) contains the name of the place where a bibliographic item was published.
publisher,core,(publisher) provides the name of the organization responsible for the publication or distribution of a bibliographic item.
