Title (de),Date,Institution,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor
Bundesgesetz über eine sichere Stromversorgung mit erneuerbaren Energien,2024-06-09,Optional referendum,energy,energy policy,alternative energy,Automatic,,Official,Normal,Constitution
Volksinitiative «Für Freiheit und körperliche Unversehrtheit»,2024-06-09,Citizens' initiative,legal system,fundamental rights,state organisation,Automatic,,Official,Normal,Constitution
Volksinitiative «Für tiefere Prämien – Kostenbremse im Gesundheitswesen (Kostenbremse-Initiative)»,2024-06-09,Citizens' initiative,social policy,social security,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Volksinitiative «Maximal 10 % des Einkommens für die Krankenkassenprämien (Prämien-Entlastungs-Initiative)»,2024-06-09,Citizens' initiative,social policy,social security,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Für eine sichere und nachhaltige Altersvorsorge (Renteninitiative),2024-03-03,Citizens' initiative,social policy,social security,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Für ein besseres Leben im Altern (Initiative für eine 13. AHV-Rente),2024-03-03,Citizens' initiative,social policy,social security,pension insurance,Bottom up,Binding,Official,Normal,Citizens
Änderung vom 16. Dezember 2022 des Covid-19-Gesetzes,2023-06-18,Optional referendum,social policy,health,state organisation,Bottom up,Binding,Official,Urgent,Citizens
"Bundesgesetz über die Ziele im Klimaschutz, die Innovation und die Stärkung der Energiesicherheit (indirekter Gegenvorschlag zur Gletscher-Initiative)",2023-06-18,Optional referendum,environment and living space,environment,energy,Bottom up,Binding,Official,Normal,Citizens
Umsetzung des OECD/G20- Projekts zur Besteuerung grosser Unternehmensgruppen,2023-06-18,Mandatory referendum,public finance,taxation,tax policy,Automatic,Binding,Official,Normal,Constitution
Änderung des Bundesgesetzes über die Verrechnungssteuer,2022-09-25,Optional referendum,taxation,tax policy,finance,Bottom up,Binding,Official,Normal,Citizens
Keine Massentierhaltung in der Schweiz (Massentierhaltungsinitiative),2022-09-25,Citizens' initiative,livestock,animal protection,agriculture,Bottom up,Binding,Official,Normal,Citizens
Zusatzfinanzierung der AHV durch eine Erhöhung der Mehrwertsteuer,2022-09-25,Mandatory referendum,social security,pension insurance,status of women,Automatic,Binding,Official,Normal,Constitution
Änderung des Bundesgesetzes über die Alters- und Hinterlassenenversicherung (Referendum),2022-09-25,Optional referendum,social security,pension insurance,status of women,Bottom up,Binding,Official,Normal,Citizens
Übernahme der EU-Verordnung über die Europäische Grenz- und Küstenwache (Weiterentwicklung des Schengen-Besitzstands) (Referendum),2022-05-15,Optional referendum,bilateral treaties,state security,public expenditure,Bottom up,Binding,Official,Normal,Citizens
Änderung des Transplantationsgesetzes (Referendum),2022-05-15,Optional referendum,health,social policy,,Bottom up,Binding,Official,Normal,Citizens
Änderung des Filmgesetzes (Referendum),2022-05-15,Optional referendum,"radio, television and electronic media",public expenditure,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über ein Massnahmenpaket zugunsten der Medien,2022-02-13,Optional referendum,media and communication,press,public finance,Automatic,,Official,Normal,Constitution
Änderung des Bundesgesetzes über die Stempelabgaben,2022-02-13,Optional referendum,economic policy,foreign policy,,Bottom up,Binding,Official,Normal,Citizens
Ja zum Schutz der Kinder und Jugendlichen vor Tabakwerbung (Volksinitiative),2022-02-13,Citizens' initiative,addictive substances,children and young people,"radio, television and electronic media",Bottom up,Binding,Official,Normal,Citizens
Ja zum Tier- und Menschenversuchsverbot (Volksinitiative),2022-02-13,Citizens' initiative,animal testing,medical research and technology,animal protection,Bottom up,Binding,Official,Normal,Citizens
Covid-19-Gesetz (Referendum),2021-11-28,Optional referendum,referendum,health policy,civil protection,Bottom up,Binding,Official,Normal,Citizens
Für eine starke Pflege (Pflegeinitiative),2021-11-28,Citizens' initiative,health,health policy,health and accident insurance,Bottom up,Binding,Official,Normal,Citizens
Bestimmung der Bundesrichterinnen und Bundesrichter im Losverfahren (Justiz-Initiative),2021-11-28,Citizens' initiative,courts,electoral system,,Bottom up,Binding,Official,Normal,Citizens
Ehe für alle,2021-09-26,Optional referendum,homosexuals,"religion, churches",children and young people,Bottom up,Binding,Official,Normal,Citizens
"Löhne entlasten, Kapital gerecht besteuern",2021-09-26,Citizens' initiative,tax policy,social policy,,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über polizeiliche Massnahmen zur Bekämpfung von Terrorismus (PMT),2021-06-13,Optional referendum,public security,police,fundamental rights,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die Verminderung von Treibhausgasemissionen (CO2-Gesetz),2021-06-13,Optional referendum,environment,economy,transport and infrastructure,Bottom up,Binding,Official,Normal,Citizens
Bundesgesetz über die gesetzlichen Grundlagen für Verordnungen des Bundesrates zur Bewältigung der Covid-19-Epidemie (Covid-19-Gesetz),2021-06-13,Optional referendum,short-term economic policy,employment,social security,Bottom up,Binding,Official,Urgent,Citizens
