ID,Title (en),Title (de),Title (fr),Level,Country,Country code,Canton,Municipality,Date,Institution,No votes,Yes votes,Empty votes,Invalid votes,Total electorate,Citizens abroad,Result,Committee name,Theme 1,Theme 2,Theme 3,Vote trigger,Vote Result status,Official status,Legal act type,Vote trigger actor,Vote trigger state level,Vote trigger number,Vote trigger time,Vote object,Author of the vote object,Counter proposal,Action,Vote venue,Hierarchy of the legal norm,Degree of revision,Turnout quorum,Decision quorum,Referendum text options,Institutional precondition,Institutional precondition decision,Institutional precondition decision actor,Special topics,Excluded topics
670cd145c3cd67046058015c,Cycling network initiative,Velonetz-Initiative,,subnational,Switzerland,CH,Zug,,2024-06-09,Citizens' initiative,23569,16019,318,490,76411,-1,No,,transport and infrastructure,road construction,road transport,Bottom up,Binding,Official,Normal,Citizens,Equal,,,Legal text (ausformulierter vorschlag),Citizens,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
66ffdfe3c3cd6704605800fc,Act concerning the approval of the Concordat between the Canton of Berne and the Republic and Canton of Jura on the transfer of the municipal commune of Moutier to the Canton of Jura and the repeal of Article 139 of the Constitution,,Acte relatif à l’approbation du Concordat entre le Canton de Berne et la République et Canton du Jura concernant le transfert de la commune municipale de Moutier dans le canton du Jura et à l’abrogation de l’article 139 de la Constitution,subnational,Switzerland,CH,Jura,,2024-09-22,Mandatory referendum,7253,19470,644,125,54688,-1,Yes,,territorial questions,federalism,state organisation,Automatic,Binding,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,"Territorial questions, Treaties",Jus cogens
66f686cfc3cd6704605800a0,Concordat on the transfer of the municipality of Moutier to the canton of Jura,Konkordat über den Wechsel der Gemeinde Moutier zum Kanton Jura,,subnational,Switzerland,CH,Bern,,2024-09-22,Mandatory referendum,2928,20941,754,37,64092,-1,Yes,,state organisation,federalism,territorial questions,Automatic,Binding,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,"Territorial questions, Treaties",Jus cogens
66f68317c3cd67046058009c,Amendment of the cantonal constitution (change of canton for the municipality of Moutier: cancellation of the administrative districts),Änderung der Kantonsverfassung (Kantonswechsel der Gemeinde Moutier: Aufhebung der Amtsbezirke),,subnational,Switzerland,CH,Bern,,2024-09-22,Mandatory referendum,40600,264717,13410,638,749365,23687,Yes,,federalism,national identity,state organisation,Automatic,Binding,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,Territorial questions,Jus cogens
66d6da9cc3cd670460580053,"Partial revision of the Health Act of April 11, 2024; authorization of service providers to operate at the expense of mandatory health insurance",Teilrevision des Gesundheitsgesetzes vom 11. April 2024; Zulassung von Leistungserbringern zur Tätigkeit zulasten der obligatorischen Krankenpfl egeversicherung,,subnational,Switzerland,CH,Basel Landschaft,,2024-09-22,Mandatory referendum,28802,46549,1905,1012,78268,-1,Yes,,health policy,professional and vocational education,health and accident insurance,Automatic,,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
66cde603c3cd67046057fff5,"New civil defence training centre Meiersboda, Churwalden","Neubau Zivilschutz-Ausbildungszentrum Meiersboda, Churwalden",,subnational,Switzerland,CH,Graubünden,,2024-09-22,Mandatory referendum,12563,42607,1037,720,56927,-1,Yes,,public security,civil protection,military facilities,Automatic,,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,Financial act,Jus cogens
66c46f86c3cd67046057ff53,Approval of expenditure for the realisation of a new administration and security centre in Kaltbach,Ausgabenbewilligung für die Realisierung eines neuen Verwaltungs- und Sicherheitszentrums Kaltbach,,subnational,Switzerland,CH,Schwyz,,2024-09-22,Optional referendum,25152,27024,424,30,108212,-1,Yes,,public finance,public expenditure,state organisation,Bottom up,Binding,Official,Normal,Citizens,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
66c46cf6c3cd67046057ff4f,Appointing authority for the State Secretary and his or her deputy: Amendment to the Constitution of the Canton of Solothurn (KV),Anstellungsbehörde für die Staatsschreiberin oder den Staatsschreiber und ihre oder seine Stellvertretung: Änderung der Verfassung des Kantons Solothurn (KV),,subnational,Switzerland,CH,Solothurn,,2024-09-22,Mandatory referendum,20304,49060,2644,930,183598,-1,Yes,,state organisation,institutions,"government, administration",Automatic,Binding,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
66c46c3ac3cd67046057ff4b,Amendment of the Constitution of the Canton of Solothurn (KV); Solothurn buildings insurance,Änderung der Verfassung des Kantons Solothurn (KV); Solothurnische Gebäudeversicherung,,subnational,Switzerland,CH,Solothurn,,2024-09-22,Mandatory referendum,17569,51469,2793,936,183598,-1,Yes,,environment and living space,housing,social policy,Automatic,Binding,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
66c46963c3cd67046057ff47,Counter-proposal for the Disclosure of political financing,Gegenvorschlag für die Offenlegung der Politikfinanzierung,,subnational,Switzerland,CH,Zug,,2024-09-22,Counter proposal,15093,16360,1457,1127,76481,-1,Yes,,state organisation,citizens' rights,political system,Automatic,,Official,Normal,Constitution,Equal,,,Legal text (ausformulierter vorschlag),Parliament,No,"Abrogate, Introduce, Revise",Ballot,Constitution,Partial,,Simple majority,Whole text only,Exists,Yes,,,Jus cogens
