Gemeinde,Kanton,Bezirk,Afrika,Asien,EFTA-Staaten,EU-Staaten,Lateinamerika und Karibik,Nordamerika,Ohne Angabe,Ozeanien,Staatenlos,Ã¯Â¿Â½briges Europa (Europa ohne EU und EFTA)
Aarau,Aargau,Bezirk Aarau,0.01685573875901346,0.021264869333578285,0.00022964221742525145,0.11252468653837322,0.004179488357139577,0.001102282643641207,0.00018371377394020116,0.00027557066091030174,0.0,0.05277178156432279
Biberstein,Aargau,Bezirk Aarau,0.008760951188986232,0.0006257822277847309,0.0,0.08197747183979975,0.0012515644555694619,0.0,0.0,0.0,0.0,0.005632040050062578
Buchs (AG),Aargau,Bezirk Aarau,0.03224187680341237,0.026094592899259816,0.0003763643206624012,0.16635302973278132,0.004265462300840547,0.0003763643206624012,0.0003763643206624012,0.000501819094216535,0.0,0.12206749466817213
DensbÃ¯Â¿Â½ren,Aargau,Bezirk Aarau,0.005547850208044383,0.004160887656033287,0.0,0.07212205270457697,0.0,0.0,0.0,0.0,0.0,0.019417475728155338
Erlinsbach (AG),Aargau,Bezirk Aarau,0.005409219190968956,0.01904985888993415,0.00023518344308560678,0.10865475070555033,0.0028222013170272815,0.00047036688617121356,0.00023518344308560678,0.00047036688617121356,0.0,0.03574788334901223
GrÃ¯Â¿Â½nichen,Aargau,Bezirk Aarau,0.0077558168626469855,0.014385789342006504,0.0,0.12134100575431574,0.0018764073054791093,0.0008756567425569177,0.0002501876407305479,0.0,0.0,0.07405554165624219
Hirschthal,Aargau,Bezirk Aarau,0.0012414649286157666,0.00931098696461825,0.0,0.07076350093109869,0.0012414649286157666,0.0006207324643078833,0.0,0.0,0.0,0.025450031036623216
KÃ¯Â¿Â½ttigen,Aargau,Bezirk Aarau,0.015634971282705808,0.011327377153797065,0.0003190810465858328,0.09412890874282068,0.002393107849393746,0.0004786215698787492,0.0,0.0,0.0,0.03493937460114869
Muhen,Aargau,Bezirk Aarau,0.004095213718965958,0.005630918863578193,0.0,0.08958280010238034,0.0007678525723061172,0.0,0.0,0.0,0.0,0.03736882518556437
Oberentfelden,Aargau,Bezirk Aarau,0.029024676850763806,0.026674500587544066,0.0004700352526439483,0.12890716803760283,0.004112808460634548,0.0010575793184488837,0.00011750881316098707,0.00011750881316098707,0.0,0.12831962397179789
Suhr,Aargau,Bezirk Aarau,0.04018709431080565,0.04285987017945781,0.0004772814051164567,0.13955708285605192,0.004581901489117984,0.00038182512409316535,0.0,9.545628102329134e-05,0.0,0.10767468499427263
Unterentfelden,Aargau,Bezirk Aarau,0.021181454459872913,0.02165215344787009,0.0,0.1339138620851965,0.00447164038597317,0.0002353494939985879,0.0004706989879971758,0.0002353494939985879,0.0,0.08449046834549306
Baden,Aargau,Bezirk Baden,0.007162224382258147,0.025016626592315957,0.0003069524735253492,0.18002762572261727,0.008748145495472452,0.003427635954366399,0.00035811121911290733,0.000511587455875582,0.0,0.04230828260091062
Bellikon,Aargau,Bezirk Baden,0.0006451612903225806,0.0070967741935483875,0.0,0.07806451612903226,0.0025806451612903226,0.001935483870967742,0.0,0.0,0.0,0.00903225806451613
Bergdietikon,Aargau,Bezirk Baden,0.0007064641469445425,0.012363122571529495,0.0,0.13846697280113035,0.001412928293889085,0.0021193924408336277,0.0010596962204168139,0.0010596962204168139,0.0,0.020487460261391734
Birmenstorf (AG),Aargau,Bezirk Baden,0.00535475234270415,0.01740294511378849,0.0,0.1392235609103079,0.004350736278447122,0.002677376171352075,0.0,0.0,0.00033467202141900936,0.029451137884872823
Ennetbaden,Aargau,Bezirk Baden,0.006855184233076264,0.023421879463010567,0.0,0.16566695229934306,0.002570694087403599,0.005141388174807198,0.00028563267637817766,0.0011425307055127106,0.0,0.02456441016852328
Fislisbach,Aargau,Bezirk Baden,0.007384726224783862,0.01729106628242075,0.0,0.16030259365994237,0.006844380403458214,0.0005403458213256485,0.0,0.0,0.00018011527377521613,0.06412103746397695
Freienwil,Aargau,Bezirk Baden,0.0,0.0019267822736030828,0.0019267822736030828,0.10115606936416185,0.0009633911368015414,0.0019267822736030828,0.0,0.0019267822736030828,0.0,0.019267822736030827
Gebenstorf,Aargau,Bezirk Baden,0.0021973997436366965,0.01977659769273027,0.0,0.14832448269547702,0.004761032777879509,0.0010986998718183483,0.00018311664530305805,0.00018311664530305805,0.0,0.0921076725874382
Killwangen,Aargau,Bezirk Baden,0.0019445794846864365,0.014098201263976665,0.0,0.16771998055420514,0.0019445794846864365,0.0014584346135148275,0.0,0.0,0.0,0.07875546912980068
KÃ¯Â¿Â½nten,Aargau,Bezirk Baden,0.003342618384401114,0.0116991643454039,0.0,0.10974930362116991,0.005571030640668524,0.0,0.0,0.0011142061281337048,0.0,0.03119777158774373
MÃ¯Â¿Â½genwil,Aargau,Bezirk Baden,0.006123410268487989,0.027319830428638718,0.0,0.1281205840791333,0.00706547338671691,0.0004710315591144607,0.0023551577955723034,0.0004710315591144607,0.0,0.06406029203956665
Mellingen,Aargau,Bezirk Baden,0.011954261954261955,0.02390852390852391,0.00017325017325017325,0.18936243936243935,0.005717255717255718,0.0,0.000693000693000693,0.000693000693000693,0.0,0.10724185724185724
Neuenhof,Aargau,Bezirk Baden,0.00871508379888268,0.03877094972067039,0.0,0.2574301675977654,0.00871508379888268,0.0007821229050279329,0.000335195530726257,0.0007821229050279329,0.0,0.17184357541899442
Niederrohrdorf,Aargau,Bezirk Baden,0.0031446540880503146,0.012094823415578132,0.00024189646831156264,0.13231736816642478,0.005563618771165941,0.0004837929366231253,0.0,0.0004837929366231253,0.0,0.031204644412191583
Oberrohrdorf,Aargau,Bezirk Baden,0.0029411764705882353,0.011029411764705883,0.00024509803921568627,0.12745098039215685,0.0029411764705882353,0.000980392156862745,0.0,0.0,0.0,0.029166666666666667
Obersiggenthal,Aargau,Bezirk Baden,0.010778859527121001,0.049026425591098745,0.0006954102920723226,0.1475428836346778,0.007301808066759388,0.0016226240148354196,0.0002318034306907742,0.0003477051460361613,0.0003477051460361613,0.09330088085303663
Remetschwil,Aargau,Bezirk Baden,0.001981178801386825,0.014858841010401188,0.0,0.1020307082714215,0.0004952947003467063,0.0004952947003467063,0.0,0.0,0.0,0.02129767211490837
Spreitenbach,Aargau,Bezirk Baden,0.005304600082884376,0.017820140903439703,0.000663075010360547,0.23787815996684625,0.008951512639867385,0.0004973062577704103,8.288437629506838e-05,0.00016576875259013675,8.288437629506838e-05,0.23124740986324077
Stetten (AG),Aargau,Bezirk Baden,0.0009086778736937755,0.0031803725579282144,0.00045433893684688776,0.15901862789641072,0.00045433893684688776,0.00045433893684688776,0.0,0.00045433893684688776,0.0,0.049522944116310766
Turgi,Aargau,Bezirk Baden,0.012649800266311585,0.03262316910785619,0.0,0.22237017310252996,0.010319573901464714,0.0016644474034620505,0.0016644474034620505,0.0,0.0,0.10419440745672437
Untersiggenthal,Aargau,Bezirk Baden,0.01206490084592983,0.023159062543336568,0.000554708084870337,0.15906254333656913,0.004160310636527527,0.0023575093606989323,0.0002773540424351685,0.0002773540424351685,0.0,0.08570239911246706
Wettingen,Aargau,Bezirk Baden,0.004872456291200917,0.020970669723894143,0.0003343842552784943,0.1717301996751696,0.005971147415687398,0.001528613738415974,0.00019107671730199676,0.0003343842552784943,0.0,0.07198815324352728
Wohlenschwil,Aargau,Bezirk Baden,0.002495321272613849,0.020586400499064253,0.0,0.12975670617592014,0.0012476606363069245,0.0037429819089207735,0.0,0.0,0.0,0.02744853399875234
WÃ¯Â¿Â½renlingen,Aargau,Bezirk Baden,0.0014681208053691276,0.014471476510067114,0.0,0.13716442953020133,0.0025167785234899327,0.003145973154362416,0.0,0.0,0.0,0.09081375838926174
WÃ¯Â¿Â½renlos,Aargau,Bezirk Baden,0.002771789344009855,0.015090853095164768,0.0003079765937788728,0.12165075454265475,0.004157684016014783,0.000769941484447182,0.0,0.0003079765937788728,0.0,0.03741915614413305
Ehrendingen,Aargau,Bezirk Baden,0.0035123966942148762,0.011570247933884297,0.0,0.1225206611570248,0.005371900826446281,0.001446280991735537,0.0,0.0008264462809917355,0.0,0.0256198347107438
Arni (AG),Aargau,Bezirk Bremgarten,0.0032119914346895075,0.01284796573875803,0.0,0.09475374732334046,0.004817987152034261,0.0021413276231263384,0.0,0.0,0.0,0.018201284796573874
Berikon,Aargau,Bezirk Bremgarten,0.004835996635828428,0.010933557611438183,0.0,0.12321278385197645,0.006518082422203532,0.001261564339781329,0.0,0.00042052144659377626,0.0,0.034693019343986546
Bremgarten (AG),Aargau,Bezirk Bremgarten,0.0023139690658872244,0.020460358056265986,0.0,0.13433199366703202,0.0047497259773474606,0.0007307270734380709,0.0,0.00012178784557301182,0.0,0.05407380343441724
BÃ¯Â¿Â½ttikon,Aargau,Bezirk Bremgarten,0.0041025641025641026,0.011282051282051283,0.0,0.12410256410256411,0.0041025641025641026,0.0010256410256410256,0.0,0.0,0.0,0.043076923076923075
Dottikon,Aargau,Bezirk Bremgarten,0.009509123618607042,0.01927525057825752,0.0,0.21948085325109226,0.006425083526085839,0.00025700334104343357,0.00025700334104343357,0.0,0.0,0.11616551015163197
Eggenwil,Aargau,Bezirk Bremgarten,0.0009671179883945841,0.015473887814313346,0.0,0.11605415860735009,0.004835589941972921,0.0009671179883945841,0.0,0.0,0.0,0.0425531914893617
Fischbach-GÃ¯Â¿Â½slikon,Aargau,Bezirk Bremgarten,0.0012445550715619166,0.006845052893590542,0.0,0.12009956440572496,0.001866832607342875,0.0006222775357809583,0.0,0.0,0.0,0.04169259489732421
HÃ¯Â¿Â½gglingen,Aargau,Bezirk Bremgarten,0.001226993865030675,0.008588957055214725,0.00040899795501022495,0.09897750511247444,0.001226993865030675,0.0008179959100204499,0.0008179959100204499,0.0,0.0,0.034764826175869123
Jonen,Aargau,Bezirk Bremgarten,0.0022904260192395786,0.011452130096197893,0.001374255611543747,0.11223087494273935,0.002748511223087494,0.0009161704076958314,0.0,0.0004580852038479157,0.0,0.019697663765460376
Niederwil (AG),Aargau,Bezirk Bremgarten,0.0017761989342806395,0.00994671403197158,0.0,0.11225577264653641,0.0007104795737122557,0.0007104795737122557,0.0,0.0,0.0,0.04404973357015986
Oberlunkhofen,Aargau,Bezirk Bremgarten,0.0,0.010810810810810811,0.0,0.11154791154791155,0.0014742014742014742,0.0009828009828009828,0.0,0.0,0.0,0.016707616707616706
Oberwil-Lieli,Aargau,Bezirk Bremgarten,0.000814000814000814,0.00407000407000407,0.000814000814000814,0.09686609686609686,0.004884004884004884,0.002035002035002035,0.0,0.0,0.0,0.015466015466015465
Rudolfstetten-Friedlisberg,Aargau,Bezirk Bremgarten,0.0037710736468500442,0.011535048802129548,0.00044365572315882877,0.18256433007985803,0.0044365572315882874,0.00044365572315882877,0.0,0.00044365572315882877,0.00044365572315882877,0.07031943212067436
Sarmenstorf,Aargau,Bezirk Bremgarten,0.002389894161829976,0.011266643905769888,0.0,0.10788665073403893,0.001707067258449983,0.0003414134516899966,0.0,0.0,0.0,0.02628883578012974
TÃ¯Â¿Â½gerig,Aargau,Bezirk Bremgarten,0.0047011417058428475,0.010073875083948958,0.000671591672263264,0.13163196776359973,0.002686366689053056,0.0,0.0020147750167897917,0.0,0.0,0.02552048354600403
Uezwil,Aargau,Bezirk Bremgarten,0.0020491803278688526,0.0,0.0,0.06762295081967214,0.0,0.0,0.0,0.0,0.0,0.018442622950819672
Unterlunkhofen,Aargau,Bezirk Bremgarten,0.0034036759700476512,0.004765146358066712,0.0006807351940095302,0.10619469026548672,0.0013614703880190605,0.0,0.0,0.0,0.0,0.010891763104152484
Villmergen,Aargau,Bezirk Bremgarten,0.014453961456102784,0.015792291220556746,0.0002676659528907923,0.1869646680942184,0.002810492505353319,0.0010706638115631692,0.00013383297644539615,0.0,0.0,0.10251605995717344
Widen,Aargau,Bezirk Bremgarten,0.0021169621593014024,0.011114051336332363,0.0018523418893887271,0.12701772955808416,0.0037046837787774543,0.0010584810796507012,0.0005292405398253506,0.0002646202699126753,0.0002646202699126753,0.019846520243450648
Wohlen (AG),Aargau,Bezirk Bremgarten,0.010714500692228977,0.023475591404321917,0.00048155059290916753,0.22374044423042197,0.006260157707819178,0.00042135676879552156,0.00018058147234093782,0.00018058147234093782,0.0,0.1288147836032023
Zufikon,Aargau,Bezirk Bremgarten,0.0024428159005107706,0.00555185431934266,0.00022207417277370642,0.13280035531867643,0.004885631801021541,0.0006662225183211193,0.0,0.00022207417277370642,0.0,0.052853653120142126
Islisberg,Aargau,Bezirk Bremgarten,0.0,0.017432646592709985,0.0,0.098256735340729,0.003169572107765452,0.0,0.0,0.0,0.0,0.006339144215530904
Auenstein,Aargau,Bezirk Brugg,0.0024922118380062306,0.006230529595015576,0.0,0.10529595015576323,0.003115264797507788,0.0006230529595015577,0.0,0.0006230529595015577,0.0,0.006853582554517134
Birr,Aargau,Bezirk Brugg,0.008075076385857704,0.024879965080750764,0.00043649061545176777,0.2047140986468791,0.00392841553906591,0.0013094718463553033,0.00021824530772588389,0.00021824530772588389,0.0,0.199257965953732
Birrhard,Aargau,Bezirk Brugg,0.0,0.017173051519154558,0.0,0.10039630118890357,0.0,0.002642007926023778,0.0,0.0,0.0,0.034346103038309116
Brugg,Aargau,Bezirk Brugg,0.00930417495029821,0.032286282306163025,0.0005566600397614314,0.1394831013916501,0.006600397614314115,0.0019880715705765406,0.0003180914512922465,0.00015904572564612326,0.00015904572564612326,0.09662027833001988
Habsburg,Aargau,Bezirk Brugg,0.002369668246445498,0.0,0.0,0.1018957345971564,0.0,0.0,0.0,0.0,0.0,0.002369668246445498
Hausen (AG),Aargau,Bezirk Brugg,0.0035655512890839275,0.014536478332419089,0.0016456390565002743,0.14673614920460779,0.0032912781130005485,0.0005485463521667581,0.0,0.0,0.0,0.07432803071859573
Lupfig,Aargau,Bezirk Brugg,0.005093919134033747,0.008277618592804839,0.0003183699458771092,0.11970709964979306,0.0006367398917542184,0.0,0.0,0.0,0.0,0.05348615090735435
Mandach,Aargau,Bezirk Brugg,0.0,0.005988023952095809,0.0,0.05089820359281437,0.0029940119760479044,0.0,0.0,0.0,0.0,0.0029940119760479044
MÃ¯Â¿Â½nthal,Aargau,Bezirk Brugg,0.007614213197969543,0.0,0.0,0.09898477157360407,0.0,0.0,0.0,0.0,0.0,0.007614213197969543
MÃ¯Â¿Â½lligen,Aargau,Bezirk Brugg,0.0027624309392265192,0.009208103130755065,0.0,0.1252302025782689,0.004604051565377533,0.0009208103130755065,0.0,0.0009208103130755065,0.0,0.034990791896869246
Remigen,Aargau,Bezirk Brugg,0.0016326530612244899,0.00816326530612245,0.0,0.1510204081632653,0.0008163265306122449,0.0016326530612244899,0.0,0.0,0.0,0.018775510204081632
