wahl_jahr;ebene_resultat;geoLevelName;kanton_nummer;kanton_bezeichnung;anzahl_listen;anzahl_kandidierende;anzahl_kandidierende_f;anzahl_kandidierende_m;anzahl_gewaehlte;anzahl_gewaehlte_f;anzahl_gewaehlte_m;frauen_anteil;wahlbeteiligung
1991;Schweiz;Schweiz;;;248;2561;834;1727;200;35;165;17.5;46.045700707
1995;Schweiz;Schweiz;;;278;2834;990;1844;200;43;157;21.5;42.222231409
1999;Schweiz;Schweiz;;;268;2845;983;1862;200;47;153;23.5;43.303141085
2003;Schweiz;Schweiz;;;262;2836;993;1843;200;52;148;26;45.230999305
2007;Schweiz;Schweiz;;;311;3089;1088;2001;200;59;141;29.5;48.276098472
2011;Schweiz;Schweiz;;;365;3458;1133;2325;200;58;142;29;48.504810858
2015;Schweiz;Schweiz;;;422;3788;1308;2480;200;64;136;32;48.509980778
2019;Schweiz;Schweiz;;;511;4645;1873;2772;200;84;116;42;45.109775796
2023;Schweiz;Schweiz;;;618;5909;2409;3500;200;77;123;38.5;46.657368569
1991;Kanton;Zürich;1;Zürich;34;814;290;524;35;9;26;25.714285714;46.25177542
1995;Kanton;Zürich;1;Zürich;27;805;277;528;34;14;20;41.176470588;43.028874805
1999;Kanton;Zürich;1;Zürich;28;892;319;573;34;14;20;41.176470588;45.127497749
2003;Kanton;Zürich;1;Zürich;32;964;370;594;34;12;22;35.294117647;45.133119999
2007;Kanton;Zürich;1;Zürich;29;804;303;501;34;12;22;35.294117647;48.965336738
2011;Kanton;Zürich;1;Zürich;30;802;275;527;34;10;24;29.411764706;46.817958641
2015;Kanton;Zürich;1;Zürich;35;873;304;569;35;14;21;40;47.24836193
2019;Kanton;Zürich;1;Zürich;32;966;415;551;35;16;19;45.714285714;44.439305012
2023;Kanton;Zürich;1;Zürich;44;1341;571;770;36;17;19;47.222222222;46.952044171
1991;Kanton;Bern / Berne;2;Bern / Berne;27;571;190;381;29;7;22;24.137931034;46.198412571
1995;Kanton;Bern / Berne;2;Bern / Berne;27;583;182;401;27;5;22;18.518518519;40.433806057
1999;Kanton;Bern / Berne;2;Bern / Berne;20;443;154;289;27;7;20;25.925925926;41.108253905
