"Abstimmungs_Datum","Nr_Politische_Ebene","Name_Politische_Ebene","Abstimmungs_Text","Nr_Resultat_Gebiet","Name_Resultat_Gebiet","Nr_Wahlkreis_StZH","Name_Wahlkreis_StZH","Stimmberechtigt","Ja","Nein","Stimmbeteiligung (%)","Ja (%)","Nein (%)","StaendeJa","StaendeNein"
"2024-03-03",1,"Eidgenossenschaft","Volksinitiative «Für ein besseres Leben im Alter (Initiative für eine 13. AHV-Rente)»",1,"Eidgenossenschaft","","","",1883465,1350257,"",58.2,41.8,"14 2/2","6 4/2"
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,6580,6600,55.2,49.9,50.1,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",8,"Kreis 10",24317.0,5095,9479,61.7,35.0,65.0,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",7,"Kreis 9",31637.0,5277,10909,52.6,32.6,67.4,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,6091,13897,65.0,30.5,69.5,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",5,"Kreis 6",19466.0,4338,7962,65.0,35.3,64.7,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",4,"Kreis 4+5",24617.0,5780,7320,54.7,44.1,55.9,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",3,"Kreis 3",27556.0,6037,8712,55.2,40.9,59.1,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,4719,8454,58.2,35.8,64.2,"",""
"2024-03-03",3,"Stadt Zürich","Volksinitiative «Mythen-Park»",3,"Stadt Zürich","","",235019.0,44621,83600,56.1,34.8,65.2,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",10,"Kreis 12",15652.0,3901,2772,43.6,58.5,41.5,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",9,"Kreis 11",37170.0,10516,7631,50.0,57.9,42.1,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",8,"Kreis 10",24317.0,7766,7045,62.5,52.4,47.6,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",7,"Kreis 9",31637.0,9658,6586,53.0,59.5,40.5,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",6,"Kreis 7+8",31501.0,12664,7437,65.4,63.0,37.0,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",5,"Kreis 6",19466.0,6625,5689,65.3,53.8,46.2,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",3,"Kreis 3",27556.0,7609,7220,55.6,51.3,48.7,"",""
"2024-03-03",2,"Kanton Zürich","C. Stichfrage: Welche der beiden Vorlagen soll in Kraft treten, falls sowohl die kantonale ",3,"Stadt Zürich",8,"Kreis 10",24317.0,3057,10165,60.0,23.1,76.9,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich",2,"Kreis 1+2",23103.0,7726,5188,57.7,59.8,40.2,"",""
"2024-03-03",2,"Kanton Zürich","Pistenverlängerungen Flughafen Zürich (Weisung an die Staatsvertretung im Verwaltungsrat der Flughafen Zürich AG)",3,"Stadt Zürich","","",235019.0,73045,56168,56.5,56.5,43.5,"",""
"2024-03-03",2,"Kanton Zürich","Volksinitiative «Für öffentliche Uferwege mit ökologischer Aufwertung»",3,"Stadt Zürich",10,"Kreis 12",15652.0,3030,3653,43.6,45.3,54.7,"",""
